point_index,timestamp_utc,status,setpoints_json,measurements_json,trace_name,trace_points,trace_peak_dbm
100,2026-09-03T07:58:59.910269+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 100000.0, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.91653500000001
101,2026-09-03T07:59:00.090793+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 402020.20202, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.857647
102,2026-09-03T07:59:00.344355+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 704040.40404, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.856265
103,2026-09-03T07:59:00.471176+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 1006060.60606, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.874111
104,2026-09-03T07:59:00.679739+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 1308080.80808, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.866438
105,2026-09-03T07:59:00.859298+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 1610101.0101, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.905843
106,2026-09-03T07:59:01.035459+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 1912121.21212, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.880735
107,2026-09-03T07:59:01.148123+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 2214141.41414, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.930518
108,2026-09-03T07:59:01.323203+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 2516161.61616, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.875261
109,2026-09-03T07:59:01.454106+00:00,ok,"{""keithley.B.current"": 0.016667, ""rigol.1.frequency"": 2818181.81818, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.907939
